roundnr;stepnr;Player;A;B;C;Total;NULL index;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner;ecset;wormset
24;47;Player 1;0;-1;38;-100;[3, 1, 2];20;1;True;;0;EC:Task: T += A+B;{' WC Name: A=0,B=-1,C=N '};;{0, 3, 4, 7, 8, 10, 13, 14, 16, 20, 22, 24, 26, 28, 29, 30};{0, 2, 3, 5, 7}
25;48;Player 0;5;-10;0;26;[0, 2, 3];21;1;True;;0;EC:Task: T = A*B;{' WC Name: B=-10 '};;{0, 3, 4, 7, 8, 10, 13, 14, 16, 20, 21, 22, 24, 26, 28, 29, 30};{0, 2, 3, 5, 7, 8}
25;49;Player 1;0;-1;5;-100;[3, 1, 2];15;0;True;;0;EC:Input:C =5;;;{0, 3, 4, 7, 8, 10, 13, 14, 15, 16, 20, 21, 22, 24, 26, 28, 29, 30};{0, 2, 3, 5, 7, 8}
26;50;Player 0;5;-10;45;26;[0, 2, 3];18;0;True;;0;EC:Input:C =45;;;{0, 3, 4, 7, 8, 10, 13, 14, 15, 16, 18, 20, 21, 22, 24, 26, 28, 29, 30};{0, 2, 3, 5, 7, 8}
26;51;Player 1;0;-1;5;6;[1, 2];9;0;True;;0;EC:Input: sum dice of all players;;;{0, 3, 4, 7, 8, 9, 10, 13, 14, 15, 16, 18, 20, 21, 22, 24, 26, 28, 29, 30};{0, 2, 3, 5, 7, 8}
27;52;Player 0;25;-10;45;26;[0, 2, 3];6;0;True;;0;EC:Input:A =25;;;{0, 3, 4, 6, 7, 8, 9, 10, 13, 14, 15, 16, 18, 20, 21, 22, 24, 26, 28, 29, 30};{0, 2, 3, 5, 7, 8}
27;53;Player 1;10;-1;5;6;[1, 2];5;0;True;;0;EC:Input:A =10;;;{0, 3, 4, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 18, 20, 21, 22, 24, 26, 28, 29, 30};{0, 2, 3, 5, 7, 8}
28;54;Player 0;25;-10;25;26;[0, 2, 3];17;0;True;;0;EC:Input:C =25;;;{0, 3, 4, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18, 20, 21, 22, 24, 26, 28, 29, 30};{0, 2, 3, 5, 7, 8}
28;55;Player 1;10;-1;5;-94;[1, 2, 3];27;2;True;;0;EC:Task: x = 2x ! total;"{' WC Name: B=NULL; ', ' WC Name: T -=100 '}";;{0, 3, 4, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18, 20, 21, 22, 24, 26, 27, 28, 29, 30};{0, 1, 2, 3, 4, 5, 7, 8}
29;56;Player 0;25;-10;-20;0;[0, 2, 3];25;2;True;;0;EC:Task: T += sum all;{' WC Name: T =xx00 ', ' WC Name: C=-20 '};;{0, 3, 4, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
29;57;Player 1;10;20;5;-94;[1, 2, 3];11;0;True;;0;EC:Input:B =20;;;{0, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
30;58;Player 0;25;-10;-20;0;[0, 2, 3];23;1;True;;0;EC:Task: T = xx9x;"{' WC Name: A=NULL; '}";;{0, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30};{0}
